ACC;CAT;VOX;SUB;MSI_P;MSI_T;MUS;FMM;IES
1;Strings;1;27;22;37;1;2;730.406250325446
1;Winds;0;1;11;38;1;1;843.002439614437
1;Winds;0;3;13;45;1;1;1093.98764870583
1;Winds;0;5;14;37;1;1;767.68357501931
1;Winds;0;6;17;43;1;1;1363.01532127697
1;Winds;0;7;13;47;1;1;1384.15096678349
1;Winds;0;12;20;42;1;1;899.80840752661
1;Winds;0;13;16;43;1;1;782.21149910125
1;Winds;0;16;9;33;1;1;758.703735852302
1;Winds;0;17;9;36;1;1;517.041577984979
1;Winds;0;21;12;47;1;1;1115.11818983014
1;Winds;0;22;7;23;1;1;952.310594358604
1;Winds;0;23;10;51;1;1;1370.3999587158
1;Winds;0;26;7;28;1;1;670.051641271519
